TypeNum:72, icd_code:D_428.0, Count:4581, avg_rank:5.817944, Accuracy:0.967693
TypeNum:30, icd_code:D_401.9, Count:4215, avg_rank:5.662159, Accuracy:0.949941
TypeNum:55, icd_code:D_427.31, Count:3490, avg_rank:7.002292, Accuracy:0.927221
TypeNum:61, icd_code:D_584.9, Count:3005, avg_rank:9.141098, Accuracy:0.931780
TypeNum:76, icd_code:D_414.01, Count:2393, avg_rank:12.939407, Accuracy:0.863351
TypeNum:66, icd_code:D_250.00, Count:2384, avg_rank:13.529362, Accuracy:0.833054
TypeNum:41, icd_code:D_272.4, Count:2278, avg_rank:13.428885, Accuracy:0.843723
TypeNum:53, icd_code:D_518.81, Count:2108, avg_rank:14.907970, Accuracy:0.787951
TypeNum:173, icd_code:D_599.0, Count:2021, avg_rank:15.718951, Accuracy:0.770411
TypeNum:28, icd_code:D_530.81, Count:1797, avg_rank:20.739009, Accuracy:0.675014
TypeNum:91, icd_code:D_244.9, Count:1549, avg_rank:24.393157, Accuracy:0.633312
TypeNum:202, icd_code:D_486, Count:1472, avg_rank:27.092391, Accuracy:0.506114
TypeNum:7, icd_code:D_285.9, Count:1446, avg_rank:27.149378, Accuracy:0.428077
TypeNum:123, icd_code:D_V45.81, Count:1440, avg_rank:15.784722, Accuracy:0.845139
TypeNum:193, icd_code:D_496, Count:1424, avg_rank:23.570225, Accuracy:0.674860
TypeNum:33, icd_code:D_V58.61, Count:1377, avg_rank:25.188090, Accuracy:0.620915
TypeNum:139, icd_code:D_276.2, Count:1363, avg_rank:25.333089, Accuracy:0.550990
TypeNum:6, icd_code:D_995.92, Count:1356, avg_rank:23.121681, Accuracy:0.587021
TypeNum:95, icd_code:D_403.90, Count:1302, avg_rank:26.416283, Accuracy:0.633641
TypeNum:71, icd_code:D_403.91, Count:1298, avg_rank:17.870570, Accuracy:0.794299
TypeNum:96, icd_code:D_585.9, Count:1262, avg_rank:29.153724, Accuracy:0.567353
TypeNum:0, icd_code:D_038.9, Count:1230, avg_rank:26.818699, Accuracy:0.557724
TypeNum:138, icd_code:D_585.6, Count:1192, avg_rank:17.855705, Accuracy:0.802013
TypeNum:54, icd_code:D_272.0, Count:1160, avg_rank:31.331897, Accuracy:0.525000
TypeNum:46, icd_code:D_311, Count:1136, avg_rank:36.619718, Accuracy:0.412852
TypeNum:187, icd_code:D_412, Count:1094, avg_rank:31.224863, Accuracy:0.615174
TypeNum:345, icd_code:D_285.1, Count:1088, avg_rank:36.090074, Accuracy:0.353860
TypeNum:122, icd_code:D_V58.67, Count:1084, avg_rank:37.913284, Accuracy:0.531365
TypeNum:130, icd_code:D_V45.82, Count:960, avg_rank:31.081250, Accuracy:0.661458
TypeNum:162, icd_code:D_327.23, Count:959, avg_rank:45.399374, Accuracy:0.498436
